Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,2815,204,246,8.7%,2020-04-19 13:30:03.327571
Jawa Barat,632,41,56,8.9%,2020-04-19 13:30:03.327571
Jawa Timur,522,94,46,8.8%,2020-04-19 13:30:03.327571
Sulawesi Selatan,332,43,23,6.9%,2020-04-19 13:30:03.327571
Banten,311,9,34,10.9%,2020-04-19 13:30:03.327571
Jawa Tengah,304,36,41,13.5%,2020-04-19 13:30:03.327571
Bali,124,36,2,1.6%,2020-04-19 13:30:03.327571
Papua,89,15,6,6.7%,2020-04-19 13:30:03.327571
Sumatera Utara,79,12,9,11.4%,2020-04-19 13:30:03.327571
Kalimantan Selatan,74,6,6,8.1%,2020-04-19 13:30:03.327571
DI Yogyakarta,64,25,7,10.9%,2020-04-19 13:30:03.327571
Sumatera Barat,62,11,6,9.7%,2020-04-19 13:30:03.327571
Kepulauan Riau,58,5,7,12.1%,2020-04-19 13:30:03.327571
Sumatera Selatan,54,5,2,3.7%,2020-04-19 13:30:03.327571
Nusa Tenggara Barat,51,2,2,3.9%,2020-04-19 13:30:03.327571
Kalimantan Utara,47,2,1,2.1%,2020-04-19 13:30:03.327571
Kalimantan Timur,44,10,1,2.3%,2020-04-19 13:30:03.327571
Kalimantan Tengah,35,8,2,5.7%,2020-04-19 13:30:03.327571
Sulawesi Tenggara,27,4,1,3.7%,2020-04-19 13:30:03.327571
Dalam Investigasi,26,0,0,0.0%,2020-04-19 13:30:03.327571
Lampung,26,10,5,19.2%,2020-04-19 13:30:03.327571
Riau,26,9,4,15.4%,2020-04-19 13:30:03.327571
Sulawesi Tengah,24,2,3,12.5%,2020-04-19 13:30:03.327571
Kalimantan Barat,21,5,3,14.3%,2020-04-19 13:30:03.327571
Sulawesi Utara,18,5,2,11.1%,2020-04-19 13:30:03.327571
Maluku,14,1,0,0.0%,2020-04-19 13:30:03.327571
Jambi,8,0,0,0.0%,2020-04-19 13:30:03.327571
Sulawesi Barat,7,1,1,14.3%,2020-04-19 13:30:03.327571
Bangka Belitung,6,0,1,16.7%,2020-04-19 13:30:03.327571
Aceh,5,4,1,20.0%,2020-04-19 13:30:03.327571
Papua Barat,5,0,1,20.0%,2020-04-19 13:30:03.327571
Bengkulu,4,0,1,25.0%,2020-04-19 13:30:03.327571
Gorontalo,4,0,0,0.0%,2020-04-19 13:30:03.327571
Maluku Utara,4,2,0,0.0%,2020-04-19 13:30:03.327571
Nusa Tenggara Timur,1,0,0,0.0%,2020-04-19 13:30:03.327571
