Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,5554,1026,449,8.1%,2020-05-13 19:00:54.947120
Jawa Timur,1772,274,163,9.2%,2020-05-13 19:00:54.947120
Jawa Barat,1556,237,98,6.3%,2020-05-13 19:00:54.947120
Jawa Tengah,1023,229,66,6.5%,2020-05-13 19:00:54.947120
Sulawesi Selatan,803,288,49,6.1%,2020-05-13 19:00:54.947120
Banten,580,157,57,9.8%,2020-05-13 19:00:54.947120
Nusa Tenggara Barat,344,114,7,2.0%,2020-05-13 19:00:54.947120
Sumatera Barat,339,83,19,5.6%,2020-05-13 19:00:54.947120
Bali,332,220,4,1.2%,2020-05-13 19:00:54.947120
Papua,328,48,6,1.8%,2020-05-13 19:00:54.947120
Sumatera Selatan,322,73,9,2.8%,2020-05-13 19:00:54.947120
Kalimantan Selatan,291,24,9,3.1%,2020-05-13 19:00:54.947120
Kalimantan Timur,230,46,3,1.3%,2020-05-13 19:00:54.947120
Kalimantan Tengah,220,30,7,3.2%,2020-05-13 19:00:54.947120
Sumatera Utara,200,53,24,12.0%,2020-05-13 19:00:54.947120
DI Yogyakarta,181,68,7,3.9%,2020-05-13 19:00:54.947120
Sulawesi Tenggara,167,17,3,1.8%,2020-05-13 19:00:54.947120
Kalimantan Utara,138,14,1,0.7%,2020-05-13 19:00:54.947120
Kalimantan Barat,129,22,3,2.3%,2020-05-13 19:00:54.947120
Kepulauan Riau,111,77,11,9.9%,2020-05-13 19:00:54.947120
Sulawesi Tengah,101,20,3,3.0%,2020-05-13 19:00:54.947120
Riau,88,49,6,6.8%,2020-05-13 19:00:54.947120
Sulawesi Utara,82,26,5,6.1%,2020-05-13 19:00:54.947120
Maluku Utara,78,8,3,3.8%,2020-05-13 19:00:54.947120
Sulawesi Barat,73,7,2,2.7%,2020-05-13 19:00:54.947120
Papua Barat,70,2,1,1.4%,2020-05-13 19:00:54.947120
Lampung,66,22,5,7.6%,2020-05-13 19:00:54.947120
Jambi,65,3,0,0.0%,2020-05-13 19:00:54.947120
Maluku,50,17,4,8.0%,2020-05-13 19:00:54.947120
Bengkulu,40,1,1,2.5%,2020-05-13 19:00:54.947120
Bangka Belitung,29,7,1,3.4%,2020-05-13 19:00:54.947120
Dalam Investigasi,21,0,0,0.0%,2020-05-13 19:00:54.947120
Gorontalo,19,12,1,5.3%,2020-05-13 19:00:54.947120
Nusa Tenggara Timur,19,1,0,0.0%,2020-05-13 19:00:54.947120
Aceh,17,12,1,5.9%,2020-05-13 19:00:54.947120
